类型,爬取日期,排名,书名,评论数,推荐数,作者,出版时间,出版社,折扣价,原价
2023年,2024/4/1,4,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1350956,100%,岸見一郎,2020/3/5,机械工业出版社,￥27.50,￥55.00
2023年,2024/4/1,5,活着（余华代表作，精装，易烊千玺推荐阅读）,1402465,100%,余华,2021/10/1,北京十月文艺出版社,￥31.00,￥45.00
2023年,2024/4/1,6,带壳的牡蛎是大人的心脏（当当专享签章版+作者亲绘贴纸。火爆全网,408537,100%,拟泥nini,2022/9/1,北京联合出版有限公司,￥40.80,￥68.00
2023年,2024/4/1,7,长安的荔枝,446542,100%,马伯庸,2022/10/31,湖南文艺出版社,￥24.80,￥45.00
2023年,2024/4/1,8,生死疲劳（不看不知道，莫言真幽默！全新版本！）,652934,100%,莫言,2022/1/1,浙江文艺出版社,￥31.00,￥69.90
2023年,2024/4/1,9,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,1763157,100%,罗伯特·戴博德,2020/7/1,天津人民出版社,￥20.60,￥38.00
2023年,2024/4/1,10,真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的,585763,100%,房琪kiki,2022/9/28,北京联合出版有限公司,￥37.30,￥49.80
2023年,2024/4/1,11,病隙碎笔（光影纪念版，书内彩插作者亲摄照片12幅）史铁生充满灵,337758,100%,史铁生,2021/11/1,湖南文艺出版社,￥21.60,￥48.00
2023年,2024/4/1,12,第七天（2024年百班千人寒假书单 九年级推荐阅读）（2022版，余华,539013,100%,余华,2022/12/1,新星出版社,￥33.80,￥49.00
2023年,2024/4/1,13,我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季,276705,100%,史铁生,2022/2/1,读者出版社,￥8.40,￥49.80
2023年,2024/4/1,14,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，,869010,99.90%,渡边淳一,2018/1/1,青岛出版社,￥16.00,￥32.00
2023年,2024/4/1,15,法治的细节（罗翔随笔集，荣获文津图书奖，评热点、论法理、聊读,483686,100%,罗翔,2021/11/1,云南人民出版社,￥34.00,￥49.80
2023年,2024/4/1,16,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,2309428,99.90%,刘慈欣,2010/11/1,重庆出版社,￥41.00,￥93.00
2023年,2024/4/1,17,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,1671370,100%,塔拉,2019/11/1,南海出版公司,￥35.40,￥59.00
2023年,2024/4/1,18,瓦尔登湖（经典新读 中央编译出版社）,204028,100%,梭罗,2019/4/1,中央编译出版社,￥5.70,￥26.80
2023年,2024/4/1,19,作家榜名著：月亮与六便士（156万读者高分推荐版！连续8年稳居畅,1567924,100%,毛姆,2017/1/10,浙江文艺出版社,￥16.90,￥39.80
2023年,2024/4/1,20,苏东坡传（林语堂纪念典藏精装版）,1088439,100%,林语堂,2018/1/1,湖南文艺出版社,￥26.00,￥52.00
2022年,2024/4/1,1,生死疲劳（不看不知道，莫言真幽默！全新版本！）,652934,100%,莫言,2022/1/1,浙江文艺出版社,￥31.00,￥69.90
2022年,2024/4/1,2,蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,1763157,100%,罗伯特·戴博德,2020/7/1,天津人民出版社,￥20.60,￥38.00
2022年,2024/4/1,3,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,1350956,100%,岸見一郎,2020/3/5,机械工业出版社,￥27.50,￥55.00
2022年,2024/4/1,4,活着（余华代表作，精装，易烊千玺推荐阅读）,1402465,100%,余华,2021/10/1,北京十月文艺出版社,￥31.00,￥45.00
2022年,2024/4/1,5,少年读史记（套装全5册）,1376041,100%,张嘉骅,2015/9/1,青岛出版社,￥49.00,￥100.00
2022年,2024/4/1,6,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,2309428,99.90%,刘慈欣,2010/11/1,重庆出版社,￥41.00,￥93.00
2022年,2024/4/1,7,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。当当专享语,349669,100%,大冰,2022/8/1,北京联合出版有限公司,￥35.00,￥39.80
2022年,2024/4/1,8,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,1245383,100%,麦家,2019/4/16,北京十月文艺出版社,￥34.50,￥55.00
2022年,2024/4/1,9,次第花开 修订版,857212,100%,希阿荣博堪布,2017/2/1,海南出版社,￥18.00,￥39.80
2022年,2024/4/1,10,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球,787680,100%,哈珀·李,2017/2/1,译林出版社,￥29.00,￥48.00
2022年,2024/4/1,11,苏东坡传（林语堂纪念典藏精装版）,1088440,100%,林语堂,2018/1/1,湖南文艺出版社,￥26.00,￥52.00
2022年,2024/4/1,12,遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆,601968,99.90%,豆豆,2018/10/9,作家出版社,￥23.00,￥48.00
2022年,2024/4/1,13,法治的细节（罗翔随笔集，荣获文津图书奖，评热点、论法理、聊读,483686,100%,罗翔,2021/11/1,云南人民出版社,￥34.00,￥49.80
2022年,2024/4/1,14,保重（大冰小蓝书系列收官之作！就此别过，诸君保重。）,289544,100%,大冰,2022/9/1,北京联合出版有限公司,￥35.00,￥39.80
2022年,2024/4/1,15,大话中国艺术史（句句有梗，一口气读完10000年中国艺术史。艺术头,155773,100%,意公子,2022/3/1,海南出版社,￥50.20,￥118.00
2022年,2024/4/1,16,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，,869010,99.90%,渡边淳一,2018/1/1,青岛出版社,￥16.00,￥32.00
2022年,2024/4/1,17,神奇校车·桥梁书版（全20册）,1545711,99.90%,乔安娜柯尔,2014/4/1,贵州人民出版社,￥64.50,￥150.00
2022年,2024/4/1,18,你当像鸟飞往你的山（中文版销量超200万册，比尔·盖茨年度特别推,1671370,100%,塔拉,2019/11/1,南海出版公司,￥35.40,￥59.00
2022年,2024/4/1,19,马尔克斯：百年孤独（50周年纪念版）,2376574,99.90%,加西亚·马尔克斯,2017/8/1,南海出版公司,￥39.60,￥55.00
