电影,评分,演员
安妮·霍尔,8.6,"伍迪·艾伦,黛安·基顿,托尼·罗伯茨,卡罗尔·凯恩,保罗·西蒙,谢莉·杜瓦尔,珍妮特·玛戈林,科琳·杜赫斯特,克里斯托弗·沃肯,唐纳德·赛明顿,琼纽曼,马丁罗森布拉特,亨泽尔,拉舍尔·诺维科芙,拉塞尔·霍顿,马歇尔·麦克卢汉,玛丽·博伊兰,约翰·多马尼安,波波·马罗夫,Rick Petrucelli,克里斯·甘佩尔,迪克·卡维特,马克·雷纳德,约翰·格洛弗,约翰·丹尼斯·约翰斯顿,劳丽·伯德,杰夫·高布伦,查尔斯·莱文,Johnny Haymer,迈克尔·阿罗宁,Ved Bandhu,Jim McKrell,Roger Newman,Alan Landers,Humphrey Davis,Helen Ludlam,Wayne Carson,Michael Karm,Riccardo Bertoni,Loretta Tupper,James Burge,莎莉·哈克,Albert Ottenheimer,葆拉·特鲁曼,比佛莉·德安姬罗,崔西·沃特,Sybil Bowan,露西·李·菲利平,西格妮·韦弗,沃尔特·伯恩斯坦,杜鲁门·卡波特,Scott Crawford,Harrison Ressler"
河童之夏,8.7,"富泽风斗,横川贵大,田中直树,西田尚美,松元环季,植松夏希,羽佐间道夫,藤本让,富田耕生,一城美由希,岩田安生,稻叶实,定冈小百合,平野正人,泷本富士子,成田剑,木村雅史,大川透,太田真一郎,田中一成,野上尤加奈,纳谷六朗,玄田哲章,乡里大辅,藤原启治,矢岛晶子,优希比吕,子安武人,阪口大助,大西健晴,川中子雅人,山中真寻,岛香裕,中村千绘,永岛由子,宫本侑芽,安达直人,吉武怜朗,池田恭祐,日高里菜,安原义人,柳乐健一,照屋年之,枚田菜菜子,张玺萌"
麦兜·当当伴我心,8.5,"黄秋生,吴君如,胡歌,郑中基,许飞,张正中,蔡明丽"
偷拐抢骗,8.5,"本尼西奥·德尔·托罗,丹尼斯·法里纳,维尼·琼斯,布拉德·皮特,拉德·舍博德兹加,杰森·斯坦森,阿兰·福德,Mike Reid,罗比·基,连尼·詹姆斯,艾文·布莱纳,杰森·弗莱明,威廉·贝克,安迪·比克维奇,查尔斯·科克,索查·库萨克,山姆·道格拉斯,亚当·弗格蒂,戈尔迪,斯蒂芬·格拉汉姆,大卫·勒格诺,维利贝·托皮奇,利亚姆·麦克马洪,詹姆斯·沃伦,奧斯汀·德瑞奇,Dean Batchelor,索尔·坎贝尔,汤姆·德尔玛,克里斯托弗·福什,盖·里奇,彼得·雷尼克,克里斯·斯普鲁斯"
一夜风流,8.8,"克拉克·盖博,克劳黛·考尔白,沃尔特·康诺利,罗斯科·卡恩茨,詹姆森·托马斯,艾伦·海尔,亚瑟·霍伊特,布朗什·弗雷德里克,查尔斯·C·威尔逊,克莱尔·麦克道尔,艾玛·坦西,多洛雷斯·富勒,Mickey Daniels,沃德·邦德,威廉·贝格"
美女与野兽,8.5,"佩吉·奥哈拉,罗比·本森,理查德·怀特,杰里·奥尔巴赫,戴维·奥格登·施蒂尔斯,安吉拉·兰斯伯瑞,布莱德利·皮尔斯,雷克斯·埃弗哈特,杰西·科尔蒂,哈尔·史密斯,乔·安妮·沃利,玛丽·凯·伯格曼,布瑞恩·卡明斯,阿尔文·爱泼斯坦,托尼·杰,亚历克·墨菲,金米·罗伯特森,凯斯·索西,弗兰克·维尔克,雪莉·琳恩,胡立成,杰克·安杰尔,乔纳森·尼科尔斯,比尔·法玛尔,Maureen Brennan,Kirsten Cenius,利兹·卡洛薇,米凯尔·比克耶,万娜·邦塔,Bruce Adler,Poul Bundgaard,詹妮弗·达林,Louise Fribo,Gordon Stanley,菲尔·普洛克特,普雷本·克里斯滕森,杰斯·英格斯勒夫,Larry Hansen,John Hahn-Petersen,Randy Hansen,乔治·德沃尔斯基"
国产凌凌漆,8.4,"周星驰,袁咏仪,罗家英,陈宝莲,郑祖,黄锦江,李力持,于荣光,李健仁,古明华,黄一飞,梁思浩,梁小熊,曾守明,邓兆尊,梁克逊,黄老邪,叶进,邓泰和,钟荣,邹义训,英德拉·利奇,张耀辉,王肇强"
疯狂的赛车,8.4,"黄渤,戎祥,九孔,徐峥,王双宝,巴多,董立范,高捷,马少骅,王迅,刘刚,Worapoj Thuantanon,赵奔,李麒麟,姜志刚,王鹭,宁浩"
王牌特工：特工学院,8.4,"塔伦·埃哲顿,科林·费尔斯,塞缪尔·杰克逊,迈克尔·凯恩,马克·斯特朗,索菲·库克森,索菲亚·波多拉,马克·哈米尔,杰克·达文波特,萨曼塔·沃马克,汉娜·奥斯特罗姆,约诺·戴维斯,亚历克斯·尼科洛夫,维利贝·托皮奇,杰夫·贝尔,艾德里安·奎因顿,乔丹·朗,西奥·巴克利姆-比格斯,摩根·华金斯,拉尔夫·伊内森,爱德华·霍尔克罗夫特,尼古拉斯·班克斯,莉莉·崔佛斯,杰克·卡特莫尔-斯科特,罗温·波隆斯基,阿拉斯泰尔·麦金托什,理查德·布雷克,刘北辰,郭易峰,马特·霍金斯,Jack ""JB"" Bauer ,安德烈·莱纳,张欣,本·迪洛韦,内芙·加切夫,克里·约翰逊,汤姆·普赖尔,卡利·内勒,保利娜·博内瓦,丹尼尔·韦斯特伍德"
克劳斯：圣诞节的秘密,8.8,"J·K·西蒙斯,詹森·舒瓦兹曼,拉什达·琼斯,琼·库萨克,诺曼·麦克唐纳徳,威尔·萨索,塞尔希奥·巴勃罗斯,米拉·布雷纳,内达·玛格丽特·拉巴,悉尼·布朗,泰迪·布鲁姆,艾玛·香农,肯德尔·卓依,朱利安·赞恩,阿曼达·菲莉普森,芬·卡尔,塔克·米克,海莉·赫尔米达,杰登·贝滕古,卢晓彤,哈德逊·韦斯特"
机器管家,8.6,"罗宾·威廉姆斯,艾伯丝·戴维兹,山姆·尼尔,奥利弗·普莱特,绮尔斯腾·瓦伦,温迪·古逊,海莉·凯特·爱森伯格,林兹·利瑟曼,安吉拉·兰迪斯,约翰·迈克尔·辛吉斯,布莱德利·惠特福德,伊戈尔·希勒,乔·贝兰,布雷特·瓦格纳,斯蒂芬·鲁特,斯科特·沃,奎因·史密斯,克里斯蒂·科内利,杰·约翰斯顿,乔治·华莱士,林恩·瑟格本,普雷斯·格里芬,玛西娅·皮佐,宝拉·迪普雷·佩斯门,克拉克·德弗洛,亚历山大·卡内拉科斯,马克.加巴里诺,迈克·伊利沙德"
上帝也疯狂2,8.8,"历苏,Lourens Swanepoel,Pierre van Pletzen,Erick Bowen,Treasure Tshabalala,Nadies,Eiros,Hans Strydom,莉娜·法鲁吉亚,Richard Loring"
甲方乙方,8.4,"葛优,刘蓓,何冰,冯小刚,英达,徐帆,杨立新,李琦,傅彪,李滨,叶京,刘震云,王小柱,张秋芳,孟赫,马永玲,孙桂田,李伟建,陈威"
开罗紫玫瑰,8.8,"米娅·法罗,杰夫·丹尼尔斯,丹尼·爱罗,欧文·梅茨曼,Victoria Zussin,Wade Barnes,Elaine Grollman,Stephanie Farrow,Maurice Brenner,保罗·赫尔曼,Rick Petrucelli,Peter Castellotti,Milton Seaman,米密·威德尔,Tom Degidon,爱德华·赫曼,约翰·伍德,黛伯拉·拉什,范·强生,佐伊·考德威尔,Karen Akers,安妮乔爱德华兹,米罗·奥西,皮特·麦克罗比,卡米利·萨维奥拉,朱莉安娜·唐纳德,黛安·韦斯特,George Hamlin,海伦汉芙特,乔治·马丁,克丽丝特尔·菲尔德,罗伯特·特雷伯,Jean Shevlin,Edwin Bordo,Tom Kubiak,Alexander H. Cohen,约翰·罗斯曼,Raymond Serra,Sydney A. Blake,迈克尔·塔克,彼得冯伯格,格伦妮·海德利,莱拉·艾维,Loretta Tupper,Marty Appel,弗雷德·阿斯泰尔,Jacqueline Carol,罗伯特·达赫达赫,James Prendergast,金杰·罗杰斯"
回到未来3,8.6,"迈克尔·J·福克斯,克里斯托弗·洛伊德,玛丽·斯汀伯根,托马斯·F·威尔森,莉·汤普森,伊丽莎白·苏,马特·克拉克,理查德·戴萨特,Pat Buttram,小哈里·凯瑞,德博泰勒,詹姆斯·托根,马克·麦克卢尔,温迪·乔·斯佩博,杰弗里·韦斯曼,Hugh Gillin,弗利,瑞奇·迪恩·洛根,迪恩·康迪,多诺万·斯科特,Freddie ,Mike Watson,Michael Klastorin,弗兰克·比拉德,Tim Konrad,比尔·麦金尼,伯顿·吉列姆,Dorothy Hack,达斯蒂·希尔,迈克尔·米尔斯,比利·吉布斯,J·J·科恩,肯尼·迈尔斯,Todd Cameron Brown"
僵尸先生,8.5,"林正英,许冠英,钱小豪,李赛凤,楼南光,王小凤,黄虾,元华,陈友,刘秋生,张荣祥,何柏光,彭润祥,元武,午马,黄韵诗,田启文,周金江"
小萝莉的猴神大叔,8.4,"萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉杰什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什,阿尔卡·芭朵拉·卡肖尔,维莫尔·卡肖尔,凯姆利什·吉尔,纳伊姆·汗,埃朗·哈斯米,迪普提·纳瓦尔"
那年夏天，宁静的海,8.6,"真木藏人,大岛弘子,河原萨布,寺岛进,渡边哲,键本景子,森下能幸"
盗钥匙的方法,8.5,"堺雅人,香川照之,广末凉子,荒川良良,森口瑶子,小野武彦,三上市朗,宇田高木,池田成志,本宫泰风,李千鹤,原金太郎,中村无何有,黑田大辅,田中聪元,室毅,大谷亮介,柊瑠美,内田慈,三村恭代,松山爱里,小山田小百合,木野花"
小鬼当家,8.4,"麦考利·卡尔金,乔·佩西,丹尼尔·斯特恩,约翰·赫德,罗伯茨·布洛瑟姆,凯瑟琳·欧哈拉,安吉拉·戈塔尔斯,戴文·雷特瑞,杰瑞·巴曼,希拉里·沃尔夫,约翰·坎迪,拉里·哈金,迈克尔·C·莫罗纳,克里斯汀·敏特尔,戴阿娜·坎佩露,杰迪代亚·科恩,基南·卡尔金,森塔·摩西,泰利·斯内尔,马特·多赫蒂,拉尔夫·富迪,迈克尔·吉多,雷·托勒,比莉·伯德,比尔·厄尔文,格里·贝克尔,克拉克·德弗洛,丹尼·沃霍尔,霍普·戴维斯,詹姆斯·雷恩,肯·哈德森·坎贝尔,吉姆·奥特莱比,莱昂纳尔·巴里摩尔,奎因.卡尔金,拉加·高斯内尔,詹姆斯·M·赫夫曼,宝拉·纽瑟姆,尤里·鲁特曼,卢西亚诺·萨贝,阿兰·维尔德"
百变狸猫,8.6,"古今亭朝太時代,三木纪平,清川虹子,野野村真,石田百合子,泉谷茂,芦屋雁之助,村田雄浩,亚当·维利,藤本让,彼得·雷纳迪,凯文·迈克尔·理查德森,霍普·利维,Wally Kurth,理查德·史蒂文·霍维茨,艾克·艾森曼,Zac Gardner,Jordan Del Spina,玛丽·茅泽,中庸助,J·K·西蒙斯,特蕾丝·麦克尼尔,Jillian Bowen,森川智之,奥德丽·瓦西莱夫斯基,Mark Moseley,高山南,埃丽卡·贝克,霍利·多夫,马克·多纳托,大卫·考吉尔,艾莉森·斯通勒,大卫·奥利弗·科恩,杰斯·哈梅尔,柳家小山,佐久间玲,克兰西·布朗,布莱恩·波塞恩,奥利薇亚·阿波,林原惠美,杰夫·贝内特,纽威尔·亚历山大,莫里斯·拉马奇,布莱恩·乔治,神谷明,关智一,约翰·迪·马吉欧,乔纳森·泰勒·托马斯,矢田稔,露西·泰勒,利夫·卡内"
极品基老伴：完结篇,9.4,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦,菲利普-沃斯,艾琳·阿特金斯,弗兰西斯·巴贝,阿利斯泰尔·布拉默,理查德·加德"
我的个神啊,8.4,"阿米尔·汗,安努舒卡·莎玛,桑杰·达特,博曼·伊拉尼,沙鲁巴·舒克拉,苏尚特·辛格·拉吉普特,帕里卡沙特.萨赫尼,阿马尔迪普·杰哈,瑞玛·德纳斯,迪伦德拉·德维韦迪,赛·甘德沃尔,拉姆·P·塞蒂,兰比尔·卡普尔,沙尔曼·乔希"
堕落天使,8.4,"黎明,李嘉欣,金城武,杨采妮,莫文蔚,陈辉虹,陈万雷,关莉娜,江道海,麦树燊,陈绍华,周金江,陈少华,梁盛熊,钟荣,韩在硕,张志平,蔡国强"
我的邻居山田君,8.8,"朝丘雪路,益冈彻,矢野显子,宇野直美"
巴斯特·斯克鲁格斯的歌谣,8.5,"哈利·米尔林,佐伊·卡赞,连姆·尼森,詹姆斯·弗兰科,大卫·克朗姆霍茨,汤姆·威兹,克兰西·布朗,蒂姆·布雷克·尼尔森,布莱丹·格里森,比尔·赫克,斯蒂芬·鲁特,泰恩·黛莉,拉尔夫·伊内森,切尔西·罗斯,绍尔·鲁宾内克,琼乔·奥雷尔,马修·维利希,杰西·卢肯,保罗·瑞,葛人杰·海恩斯,杰弗森·梅斯,山姆·狄龙,比利·洛克伍德,汤姆·普罗克特,E·E·贝尔,丹尼·麦卡锡,杰克莫·巴泽尔,伊索·阿克瑞恩"
狐妖小红娘剧场版：王权富贵,9.2,"杨天翔,刘校妤,乔诗语,魏超,阎萌萌,张凯,范哲琛"
心理游戏,8.9,"今田耕司,藤井隆,山口智充,西凛太郎,布鲁斯·洛克"
桃色公寓,8.8,"杰克·莱蒙,雪莉·麦克雷恩,弗莱德·麦克莫瑞,雷·沃尔斯顿,杰克·克鲁申,大卫·刘易斯,奥佩·霍利迪,琼·肖丽,娜奥米·史蒂文斯,约翰尼·塞文,乔伊丝·詹姆森,威拉德·沃特曼,大卫·怀特,伊迪·亚当斯,大卫·麦克林,哈尔·史密斯,多萝西·阿伯特,比尔·鲍德温,本尼·伯特,梅森·科里,弗朗西丝·温特劳布·拉克斯"
回到未来2,8.5,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,托马斯·F·威尔森,伊丽莎白·苏,詹姆斯·托根,杰弗里·韦斯曼,凯西·希玛兹科,比利·赞恩,J·J·科恩,查尔斯·弗莱舍,卡萨诺瓦·埃文斯,杰伊·科赫,查尔斯·格拉迪,瑞奇·迪恩·洛根,达琳·沃格尔,李截,弗利,斯蒂芬妮·威廉姆斯,小哈利·沃特斯,唐纳德·富利洛夫,丽萨·弗里曼,Wesley Mann,克里斯平·格洛弗,克林特·伊斯特伍德,吉安·马里亚·沃隆特,Freddie ,玛丽·艾伦·特雷纳,Tommy Thomas,内尔·洛斯,安吉拉·格林布拉特,乔·弗莱厄蒂,伊琳娜·卡什,Sean Michael Fish,伊利亚·伍德,翠西·达利,乔治·“巴克”·弗劳尔,Justin Mosley Spink"
驴得水,8.3,"任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,麦亚瑟,王峰,周申"
少年斯派维的奇异旅行,8.5,"海伦娜·伯翰·卡特,朱迪·戴维斯,考乐姆·吉斯·雷尼,凯尔·凯特莱特,妮娅姆·威尔逊,里克·麦瑟,多米尼克·皮侬,朱利安·瑞钦斯,米歇尔·佩伦,道恩·福特,哈里·斯坦德乔夫斯基,莱尼·帕克,凯尔·盖特豪斯,丽莎·布朗温·摩尔,保利娜·利特尔,费利西亚·舒尔曼,迪伦·金威尔,埃里克·戴维斯,蕾贝卡?阿姆扎拉,安柏·戈德法布,Una Kay,诺尔·伯顿,西尔维亚·斯图尔特,Kyle Allatt,Chris Cinnamon,Sarah Brannens,凯瑟琳·勒米厄,罗伯特·梅耶,鲍里斯·雷林格"
将军号,9.1,"巴斯特·基顿,玛丽昂·马克,格伦·卡文德,吉姆·法利,弗雷德里克·弗鲁姆,查尔斯·亨利·史密斯,弗兰克·巴恩斯,乔·基顿,麦克·多林,汤姆·纳恩,安东尼·哈维"
茜茜公主,8.5,"罗密·施耐德,卡尔海因茨·伯姆,玛格达·施奈德,乌塔·弗朗茨,古斯塔夫·克努特,丁建华,埃贡·冯·乔丹,希尔德·瓦格纳,奥托·泰斯勒尔,Erich Nikowitz,Josef Meinrad,威尔玛·德吉舍尔,Karl Fochler,Richard Eybner,Franz B?heim,彼得·韦克,Ulrich Bettac"
雄狮少年,8.3,"大昕,大雄,郭皓,李盟,李佳思,蔡壮壮,马语非,熊陈捷,巴赫,大澄子,付博文,秋木,黄河,张远韬"
金枝玉叶,8.4,"袁咏仪,张国荣,刘嘉玲,陈小春,曾志伟,罗家英,林晓峰,郑丹瑞,李晓彤,皮特·斯普瑞尔,许愿,张同祖,张之亮,邓汉强,李浩林"
天生一对,8.4,"琳赛·洛翰,丹尼斯·奎德,娜塔莎·理查德森,伊莲·亨德里克斯,丽萨·安·沃尔特,西蒙·坤茨,罗尼·斯蒂芬斯,玛姬·惠勒,娜塔莎·梅尔尼克,乔安娜·巴恩斯,温德拉·科斯伯姆,卡特琳娜·格兰厄姆,Amy Centner"
骗中骗,8.7,"保罗·纽曼,罗伯特·雷德福,罗伯特·肖,查尔斯·德恩,雷·沃尔斯顿,艾琳·布伦南,海尔德·高德,约翰·赫夫南,达纳·艾卡,杰克·基欧,米特拉阿利斯,罗伯特·厄尔·琼斯,James Sloyan,莎莉·柯克兰德,埃文·朗,阿奇·约翰逊,埃德·巴基,布拉德·苏利文,John Quade,Larry D. Mann,伦纳德·巴尔,Paulene Myers,杰克·科林斯,Tom Spratley,Kenneth O'Brien,Ta-Tanisha,威廉·本尼迪克特,Robert Brubaker,彼得·保罗·伊士曼,凯瑟琳·弗里曼,Susan French,西格·弗罗利奇,Ralph Gambina,George Holmes,Sid Kane,迈克·拉里,Alexander Lockwood,Chuck Morrell,拜伦·莫罗,Jessica Rains,珀尔·希尔,Arthur Tovey,Charles Dierkop"
鹿鼎记,8.3,"周星驰,吴孟达,张敏,吴君如,邱淑贞,刘松仁,陈百祥,袁洁莹,温兆伦,徐锦江,陈德容,林青霞,钱似莺,郑家生,胡立成,林芳雪,刘江,陈少华,黄德仁,雷达"
顽主,8.4,"张国立,葛优,梁天,潘虹,马晓晴,孙凤英,李耕,董钰刚,颜彼得,侯耀华,莫岐,常蓝天,李丽娜,李滨,王哲元,米丽新,黄斐"
星际宝贝,8.6,"黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔,戴维·奥格登·施蒂尔斯,凯文·麦克唐纳德,文·瑞姆斯,佐伊·考德威尔,李截,米兰达·佩奇·沃尔斯,凯文·迈克尔·理查德森,苏珊·赫加蒂,艾米·希尔,杰克·安杰尔,埃丽卡·贝克,鲍伯·伯根,史蒂夫·布卢姆,罗德格尔·邦帕斯,凯茜·卡瓦蒂妮,詹妮弗·达林,杰斯·哈梅尔,米凯·麦高万,黛布拉·罗杰斯,苏珊·锡洛,凯斯·索西,道格·斯通,Karle Warren,Paige Pollack,Courtney Mun,史蒂夫·奥特曼,古明华,王祖蓝,Valerie Flueger,达门·J·克拉尔,格雷格·芬利,约翰·德米塔"
查理和巧克力工厂,8.3,"约翰尼·德普,弗莱迪·海默,海伦娜·伯翰·卡特,克里斯托弗·李,诺亚·泰勒,大卫·凯利,米西·派勒,詹姆斯·福克斯,安娜索菲亚·罗伯,迪普·罗伊,亚当·戈德利,弗兰西斯卡·托格内尔,茱莉亚·温特,乔丹·弗雷,菲利普·韦格拉茨,王祖蓝,姜广涛,丹尼·艾夫曼,马克·希普,谢莉·康恩,凯文·埃尔登,加里克·哈根,吉奥菲·侯德,丽兹·史密斯,安妮特·白兰特,托德·博伊斯,艾琳·伊赛尔,尼廷·加纳特拉,Oscar James,Ray Verma,Stephen Humby,Blair Dunlop,Hubertus Geller,David Morris"
银河护卫队3,8.3,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,凯伦·吉兰,庞·克莱门捷夫,布莱德利·库珀,范·迪塞尔,楚克武迪·武吉,威尔·保尔特,肖恩·古恩,玛丽亚·巴卡洛娃,伊丽莎白·德比齐,琳达·卡德里尼,阿西姆·乔杜里,米凯拉·霍沃,迈克尔·鲁克,丹妮拉·曼希沃,詹尼佛·霍兰德,詹姆斯·古恩,内森·菲利安,诺亚·巴斯金,莫莉·奎恩,史蒂芬·布莱克哈特,特伦斯·罗斯摩尔,皮特·戴维森,赛斯·格林,莎拉·阿拉米,贾斯敏·穆尼奥斯,乔瓦尼·克鲁兹,尼科·桑托斯,米利亚姆·肖尔,朱迪·格雷尔,雷纳尔多·法伯勒,西尔维斯特·史泰龙,塔拉·斯特朗,奥斯汀·弗里曼,迈克尔·罗森巴姆,伊兰盖尔,杰拉尔多·达维拉,迪·布拉雷·贝克尔,本·戴维斯,蒂凡尼·史密斯,乔纳森·梅赛德斯,马克斯·比克霍普,雷妮·莫尼梅克,凯莱布·斯比尔亚兹,达拉·德尔加多,兰德尔·P·海文斯,戴恩·迪利格罗,阿德琳·斯布恩,斯佳丽·布鲁姆,洛伊德·考夫曼,克里斯托弗·法里班克,瑞特·米勒,娜塔莉·萨福兰,杰西卡·芳汀,凯伦·阿伯克龙比,格雷格·亨利,克莱尔·格兰特,尼娅·考瓦特,凯·赞"
亚当斯一家,8.5,"安杰丽卡·休斯顿,劳尔·胡里亚,克里斯托弗·洛伊德,丹·哈达亚,伊莉莎白·威尔森,朱迪丝·马利纳,卡雷尔·斯特鲁基,丹娜·爱薇,保罗·贝内迪克特,克里斯蒂娜·里奇,吉米·沃克曼,约翰·福兰克林,Tony Azito,Douglas Brian Martin,Steven M. Martin,阿莱格拉·肯特,凯特·麦克格雷格-斯图尔特,莱拉·艾维,Whit Hertford,梅塞德斯·麦克纳博,Joe Zimmerman,尤金·杰克逊,马克·夏曼,萨莉·杰西·拉斐尔,S. Scott Bullock,布鲁斯·霍尔曼,赛尔达·鲁宾斯特恩,巴里·索南菲尔德,Benny Wills"
我的野蛮女友,8.3,"车太贤,全智贤,金仁文,宋玉淑,韩振熙,玄淑熙,金一宇,徐东元,金敏载,李在浩,朴俊英,玄哲浩,赵庆勋,孙光业,李正学,陈泰贤,金哲秀,李无影,任豪,郭在容,裴长秀,金东哲,郑忠焕,曹善默,李恩静,韩在民,朴胜裴,任正秀,文紫英,张秀英,艺智苑,梁金锡,柳淳哲"
怪兽大学,8.3,"比利·克里斯托,约翰·古德曼,史蒂夫·布西密,海伦·米伦,彼得·孙,乔尔·默里,西恩·海耶斯,大卫·弗利,查理·戴,阿尔弗雷德·莫里纳,泰勒·莱伯恩,内森·菲利安,奥布瑞·普拉扎,贝丝·比厄,鲍比·莫尼汉,朱丽亚·斯维尼,邦尼·亨特,伊莎贝拉·阿塞尔斯,王伟忠,艾丽莎·奈特,约翰·卡拉辛斯基,王祖蓝,雪莉·琳恩,黄子佼,路知行,凯尔希·格兰莫,郑肯,盖奇·达文波特,弗兰克·奥兹,罗伯·里格尔,J·B·斯穆夫,泰迪·牛顿,约翰·拉森贝格"
乔乔的异想世界,8.3,"罗曼·格里芬·戴维斯,托马辛·麦肯齐,斯嘉丽·约翰逊,塔伊加·维迪提,山姆·洛克威尔,蕾蓓尔·威尔森,阿尔菲·艾伦,斯戴芬·莫昌特,阿奇·耶茨,卢克·布兰登·菲尔德,山姆·海加斯,史丹斯拉夫·卡拉斯,乔·温特劳布,布莱恩·卡斯佩,加布里埃尔·安德鲁斯,罗伯特·伊斯特,比利·雷纳,克里斯蒂安·豪林斯,吉尔比·格里芬·戴维斯,哈迪·格里芬·戴维斯,柯蒂斯·马修,贝萨尼·亚当斯,朱迪思·乔治,维多利亚·霍根"
黑衣人,8.3,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺,文森特·多诺费奥,雷普·汤恩,托尼·夏尔赫布,理查德-汉密尔顿,迈克·努斯鲍姆,丹尼·德维托,史蒂文·斯皮尔伯格,Mushu,查尔斯·C·史蒂文森,弗瑞德里克·林恩,卡雷尔·斯特鲁基,强·格瑞斯,乔治·卢卡斯,大卫·克罗斯,希芳·法隆"
里约大冒险,8.3,"杰西·艾森伯格,安妮·海瑟薇,乔治·洛佩兹,罗德里戈·桑托罗,凯特·德尔·卡斯蒂洛,卡洛斯·庞丝,伯纳多·德·保拉,伊丝特尔·迪恩,莱斯利·曼恩,吉恩·吉尔平,杰梅奈·克莱门特,吴磊,杰米·福克斯,朴宝英,卡洛斯·沙尔丹哈,宋仲基"
魔发奇缘,8.3,"曼迪·摩尔,扎克瑞·莱维,唐纳·墨菲,朗·普尔曼,迈克·康纳·盖尼,杰弗里·塔伯,布拉德·加内特,保罗·F·汤普金斯,理查德·基尔,德莱尼·罗斯·斯坦,内森·格雷诺,拜伦·霍华德,蒂姆·梅尔滕斯,中川翔子,邱凯伟,鱼冻"
马戏团,9.2,"查理·卓别林,阿尔·欧内斯特·加西亚,梅尔纳·肯尼迪,哈里·克罗克,乔治·戴维斯,亨利·伯格曼,蒂尼·桑福德,约翰兰德,艾伯特·奥斯汀,斯坦利·布莱斯通,海尼·康克林,Toraichi Kono,贝蒂莫里西,L.J. O'Connor,杰克 P. 皮尔斯,Hugh Saxon,Armand Triller,吉恩·巴瑞,乔治·W·戴维斯"
阳光小美女,8.3,"阿比盖尔·布雷斯林,格雷戈·金尼尔,保罗·达诺,艾伦·阿金,托妮·科莱特,史蒂夫·卡瑞尔,马克·图特尔陶布,吉尔·塔利,胡里奥·奥斯卡·门乔索,Chuck Loring,Justin Shilton,史蒂文·克里斯托弗·帕克,布莱恩·克兰斯顿,约翰·沃尔卡特,宝拉·纽瑟姆,迪恩·诺里斯,贝丝·格兰特,华莱士·朗翰,劳伦·盐滨,玛丽·莱恩·莱杰斯库,杰夫·米德,马特·温斯顿,梅尔·罗德里格斯,艾丽莎·安德瑞格,埃里克·大卫,Tara Dawn Holland,Ksenia Jarova,里吉斯·菲尔宾,戈登·汤姆森"
普罗旺斯的夏天,8.4,"让·雷诺,安娜·加列娜,克洛伊·茹阿内,雨果·德休,奥雷·阿蒂卡,卢卡斯·派里策,让-米歇尔·诺里,于格·奥弗雷,夏洛特·德·特汉姆,拉法埃尔·阿贡吉,让-皮耶·罗利特,汤姆·里布,米歇尔·德鲁克"
洗澡,8.4,"姜武,濮存昕,朱旭,李丁,封顺,何冰,隋永清,金钊,杨子纯,方征,刘希媛,杜家毅"
冰川时代3,8.3,"Eunice Cho,麦丽·弗拉纳甘,杰森·弗里基奥内,比尔·哈德尔,Kelly Keaton,乔伊·金,奎恩·拉提法,丹尼斯·利瑞,阿莱格拉·勒吉萨莫,约翰·雷吉扎莫,Lucas Leguizamo,科里亚·刘易斯,简·林奇,乔希·佩克,西蒙·佩吉,雷·罗马诺,卡洛斯·沙尔丹哈,西恩·威廉·斯科特,辛迪·斯拉特里,克里斯·韦奇,克里斯汀·韦格,马特·阿德勒,史蒂夫·奥特曼,克劳迪娅·贝索,霍利·多夫,塞勒妮丝·雷瓦,蒂姆·诺德奎斯特,德维卡·帕利赫,乔纳森·柴可夫斯基,弗兰克·维尔克,贝雅翠丝·米勒,奥托·瓦尔克斯"
心房客,8.5,"迈克尔·皮特,伊莎贝尔·于佩尔,瓦莱丽亚·布鲁尼·泰德斯基,古斯塔弗·科文,朱尔·本谢特里"
