电影,评分,演员
布达佩斯大饭店,8.9,"拉尔夫·费因斯,托尼·雷沃罗利,阿德里安·布罗迪,威廉·达福,裘德·洛,爱德华·诺顿,西尔莎·罗南,蒂尔达·斯文顿,比尔·默瑞,蕾雅·赛杜,欧文·威尔逊,詹森·舒瓦兹曼,马修·阿马立克,F·默里·亚伯拉罕,汤姆·威尔金森,杰夫·高布伦,哈威·凯特尔,华莱士·沃洛达斯基,瓦里丝·阿卢瓦利亚,加布里埃尔·拉什,野村训市,丽萨·克鲁泽,吴永庆,戈洛·欧拉,杰拉·尼曼,费舍·史蒂芬斯,鲍勃·巴拉班,卡尔·马克维斯,弗洛里安·卢卡斯,吉塞尔达·沃洛迪,拉里·派恩,尼尔·哈夫,汉勒斯·魏格纳,卢卡斯·赫奇斯"
低俗小说,8.9,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,蒂姆·罗斯,塞缪尔·杰克逊,菲尔·拉马,布鲁斯·威利斯,弗兰克·威利,布尔·斯蒂尔斯,文·瑞姆斯,劳拉·拉芙蕾丝,保罗·考尔德伦,布罗娜·加拉赫,罗姗娜·阿奎特,埃里克·斯托尔兹,玛丽亚·德·梅黛洛,昆汀·塔伦蒂诺,史蒂夫·布西密,克里斯托弗·沃肯,哈威·凯特尔,彼得·格林纳,安琪拉·琼斯,阿尼·萨瓦,Stephen Hibbert,苏珊·格里菲斯"
大独裁者,9.2,"查理·卓别林,宝莲·高黛,杰克·奥克,雷金纳德·加德纳,邱岳峰,亨利·丹尼尔,卡特·德黑文,格蕾斯·海尔,比利·吉尔伯特"
菊次郎的夏天,8.9,"北野武,关口雄介,岸本加世子,吉行和子,细川典江,大家由祐子,磨赤儿,铃木忠幸,井手博士,今村鼠,兼子二郎,田中要次,小岛可奈子,诹访太朗,筒井真理子"
7号房的礼物,8.9,"柳承龙,朴信惠,郑镇荣,金正泰,吴达洙,朴元尚,郑满植,葛素媛,李柱灿,赵德贤,全宪泰,姜睿序,韩利进,崔录运,尹善宇,吕茂英,金基天,吴昌庆,卢康民,郑熙泰,郑涵妃,赵在允"
玩具总动员3,8.9,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,尼德·巴蒂,唐·里克斯,迈克尔·基顿,裘蒂·班森,伊瑞克·冯·迪滕,泰迪·牛顿,罗里·艾伦,李·厄米,贝雅翠丝·米勒,埃米莉·哈恩,童自荣,齐凡克·塔里图格,理查德·坎德,约翰·莫里斯,雪莉·琳恩,杰克·安杰尔,户田惠子,乌比·戈德堡,巴德·乐凯,约翰·拉森贝格,劳里·梅特卡夫,提摩西·道尔顿,邦尼·亨特,华莱士·肖恩,李·昂克里奇,爱丝黛儿·哈里斯,布莱克·克拉克,克里斯汀·沙尔,玻伦·萨特,唐泽寿明,古明华,杰夫·格尔林"
老友记重聚特辑,9.2,"詹妮弗·安妮斯顿,柯特妮·考克斯,马修·派瑞,大卫·休默,丽莎·库卓,马特·勒布朗,瑞茜·威瑟斯彭,Lady Gaga,大卫·贝克汉姆,贾斯汀·比伯,詹姆斯·柯登,辛迪·克劳馥,卡拉·迪瓦伊,埃利奥特·古尔德,基特·哈灵顿,拉里·哈金,敏迪·卡灵,托马斯·列农,克里斯蒂娜·皮克勒斯,汤姆·塞立克,詹姆斯·迈克尔·泰勒,玛姬·惠勒,马拉拉·尤萨夫扎伊,金南俊,凯文·布莱特,玛尔塔·考夫曼,大卫·克拉尼,金硕珍,郑号锡,朴智旻,金泰亨,田柾国,闵玧其"
虎口脱险,8.9,"路易·德·菲奈斯,布尔维尔,克劳迪奥·布鲁克,安德丽·帕里西,科莱特·布罗塞,迈克·马歇尔,玛丽·马凯,皮埃尔·贝尔坦,本诺·施特岑巴赫,玛丽·杜布瓦,特里-托马斯,西戈德·拉普,赖因哈德·科尔德霍夫,赫尔穆特·施奈德,保罗·普雷博伊斯特,汉斯·迈尔,居伊·格罗索,米歇尔·莫多,彼得·雅各布,吕迪·勒努瓦,诺埃尔·达扎尔,皮埃尔·鲁塞尔,皮埃尔·巴斯蒂安,雅克·萨布隆,玛格·阿夫里尔,雅克·博杜因,加布里埃尔·戈班,保罗·梅塞,亨利·热内斯,童自荣,严崇德,于鼎,尚华"
功夫,8.8,"周星驰,元秋,元华,黄圣依,梁小龙,陈国坤,田启文,林子聪,林雪,冯克安,释彦能,冯小刚,袁祥仁,张一白,赵志凌,董志华,何文辉,陈凯师,贾康熙,林子善,任珈锐,王仕颖,冯勉恒,范湉湉,杨能,黄锐民,姜瑰瑾,丁小龙,张明明,阮昊天,钱升玮,林志泰,程守一,沈悦,朱剑峰"
喜剧之王,8.8,"周星驰,张柏芝,莫文蔚,吴孟达,林子善,田启文,李兆基,成龙,李思捷,郑文辉,胡立成,明德丰,戚务振,冯勉恒,郑祖,袁富华,侯焕玲,徐志雄,叶竞生,陈宝骏,戴龙"
